source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1974,1971,1926,2016,1848,2130,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,183,182,169,196,150,223,0.093,0.092,0.087,0.098,0.077,0.111,6,2,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1972,1972
new data (hospital-based + HUS),hosp_YLD,177,177,170,184,158,197,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,59,59,54,64,44,74,0.332,0.333,0.311,0.354,0.27,0.389,6,2,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,177,177
new data (hospital-based + HUS),non_hosp_YLD,2520,2517,2466,2569,2366,2693,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,318,317,297,338,264,379,0.126,0.126,0.119,0.133,0.106,0.148,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2515,2515
new data (hospital-based + HUS),total_DALY,142802,142478,137929,147455,129525,156952,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,36266,36170,33274,39016,28455,44747,0.254,0.253,0.237,0.271,0.207,0.301,6,2,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,142800,",142,800"
new data (hospital-based + HUS),total_YLD,4494,4489,4398,4580,4235,4813,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,377,376,352,401,313,446,0.084,0.084,0.079,0.089,0.07,0.099,6,2,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4485,4485
new data (hospital-based + HUS),total_YLL,138308,137994,133457,142993,125020,152370,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,35889,35784,32893,38625,28092,44333,0.259,0.259,0.242,0.277,0.211,0.308,6,2,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,138200,",138,200"
new data (hospital-based + HUS),hosp_med_att_YLD,1974,1971,1926,2016,1848,2130,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,44,44,40,49,32,59,0.023,0.022,0.02,0.025,0.016,0.03,3,2,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1970,1970
new data (hospital-based + HUS),hosp_YLD,177,177,170,184,158,197,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,25,25,22,28,17,34,0.14,0.14,0.125,0.154,0.101,0.184,3,2,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,179,179
new data (hospital-based + HUS),non_hosp_YLD,2520,2517,2466,2569,2366,2693,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
