source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round,money_unit,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,KEN,mAb,Kenya,6801000,6$ (mAb),6.8m,million USD,6.619,6.801,6.306,7.158,4.608,7.551
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,KEN,mAb,Kenya,4474,6$ (mAb),4.5k,USD,5.642,4.474,2.772,7.244,1.088,16.916
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,KEN,mAb,Kenya,1954,6$ (mAb),2k,USD,2.451,1.954,1.22,3.137,0.492,7.278
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,KEN,mAb,Kenya,1064000,6$ (mAb),1.1m,million USD,1.247,1.064,0.707,1.559,0.314,3.257
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,2293000,6$ (mAb),2.3m,million USD,2.286,2.293,2.129,2.444,1.818,2.726
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,KEN,mAb,Kenya,57390,6$ (mAb),57.4k,USD,57.531,57.392,54.853,60.08,50.275,65.499
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,KEN,mAb,Kenya,24930,6$ (mAb),24.9k,USD,24.988,24.929,23.836,26.085,21.885,28.429
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,5572000,6$ (mAb),5.6m,million USD,5.579,5.572,5.421,5.736,5.139,6.047
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,KEN,mAb,Kenya,25150000,20$ (mAb),25.2m,million USD,24.971,25.153,24.658,25.51,22.961,25.903
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),20,0.2,KEN,mAb,Kenya,4474,20$ (mAb),4.5k,USD,5.642,4.474,2.772,7.244,1.088,16.916
