source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),4.64,4.62,4.24,5.02,3.62,5.74,6,2,KEN,mAb,Kenya,4619000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),631.57,440.88,331.59,629.46,223.62,1746.2,6,2,KEN,mAb,Kenya,441,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),22.99,22.97,22.59,23.37,21.98,24.09,20,2,KEN,mAb,Kenya,22970000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),2951.31,2199.79,1755.73,2962.23,NA,NA,20,2,KEN,mAb,Kenya,2200,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),75.43,75.41,75.02,75.8,74.41,76.52,60,2,KEN,mAb,Kenya,75410000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),9579.14,7226.13,5830.46,9629.56,NA,NA,60,2,KEN,mAb,Kenya,7226,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.65,78.65,78.65,78.65,78.65,78.65,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),1.57,1.53,1.34,1.77,1.01,2.31,3,2,KEN,MV,Kenya,1534000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),111.2,116.02,96.73,144.42,68.92,258.56,3,2,KEN,MV,Kenya,116,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),4.02,4.02,4.02,4.02,4.02,4.02,3,2,KEN,MV,Kenya,4023000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),10.96,10.92,10.72,11.16,10.4,11.7,10,2,KEN,MV,Kenya,10920000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),771.37,810.41,732.45,943.03,618.2,1600.81,10,2,KEN,MV,Kenya,810,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),13.41,13.41,13.41,13.41,13.41,13.41,10,2,KEN,MV,Kenya,13410000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),37.78,37.74,37.54,37.98,37.22,38.52,30,2,KEN,MV,Kenya,37740000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),2657.59,2793.46,2532.07,3251.66,NA,NA,30,2,KEN,MV,Kenya,2793,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),40.23,40.23,40.23,40.23,40.23,40.23,30,2,KEN,MV,Kenya,40230000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),-4.8,-4.95,-7.4,-2.27,-11.33,2.31,6,2,ZAF,mAb,South Africa,4952000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-657.74,-873.19,-1111.66,-517.75,-1468.58,1147.15,6,2,ZAF,mAb,South Africa,873,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),6.45,6.45,6.45,6.45,6.45,6.45,6,2,ZAF,mAb,South Africa,6447000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),10.24,10.09,7.64,12.77,3.71,17.36,20,2,ZAF,mAb,South Africa,10090000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),2634.26,1789.16,1136.92,2933.54,NA,NA,20,2,ZAF,mAb,South Africa,1789,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),21.49,21.49,21.49,21.49,21.49,21.49,20,2,ZAF,mAb,South Africa,21490000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),53.22,53.07,50.63,55.76,46.69,60.34,60,2,ZAF,mAb,South Africa,53070000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),12039.99,9443.82,7509.21,12951.81,NA,NA,60,2,ZAF,mAb,South Africa,9444,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),64.47,64.47,64.47,64.47,64.47,64.47,60,2,ZAF,mAb,South Africa,64470000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),-10.53,-10.69,-12.1,-9.03,-14.79,-5.53,3,2,ZAF,MV,South Africa,10690000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-1718.7,-1572.17,-1889.75,-1314.35,NA,NA,3,2,ZAF,MV,South Africa,1572,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),3.28,3.28,3.28,3.28,3.28,3.28,3,2,ZAF,MV,South Africa,3281000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),-2.87,-3.04,-4.44,-1.37,-7.14,2.13,10,2,ZAF,MV,South Africa,3040000,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-466.1,-457.02,-677.48,-206.66,-1238.59,314.25,10,2,ZAF,MV,South Africa,457,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),10.94,10.94,10.94,10.94,10.94,10.94,10,2,ZAF,MV,South Africa,10940000,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),19,18.83,17.43,20.5,14.73,24,30,2,ZAF,MV,South Africa,18830000,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),3112.78,2755.92,2444.31,3263.23,NA,NA,30,2,ZAF,MV,South Africa,2756,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),32.81,32.81,32.81,32.81,32.81,32.81,30,2,ZAF,MV,South Africa,32810000,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),4.64,4.62,4.24,5.02,3.62,5.74,6,2,KEN,mAb,Kenya,4619000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),341.34,192.8,144.75,276.22,97.54,771.88,6,2,KEN,mAb,Kenya,193,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),22.99,22.97,22.59,23.37,21.98,24.09,20,2,KEN,mAb,Kenya,22970000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),1554.24,961.77,766.98,1298.32,573.2,3236.04,20,2,KEN,mAb,Kenya,962,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),75.43,75.41,75.02,75.8,74.41,76.52,60,2,KEN,mAb,Kenya,75410000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),5019.67,3159.67,2543.29,4221.22,NA,NA,60,2,KEN,mAb,Kenya,3160,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.65,78.65,78.65,78.65,78.65,78.65,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),1.57,1.53,1.34,1.77,1.01,2.31,3,2,KEN,MV,Kenya,1534000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),54.45,50.43,42.09,62.9,29.94,112.43,3,2,KEN,MV,Kenya,50,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),4.02,4.02,4.02,4.02,4.02,4.02,3,2,KEN,MV,Kenya,4023000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),10.96,10.92,10.72,11.16,10.4,11.7,10,2,KEN,MV,Kenya,10920000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),380.38,352.35,318.32,410.52,268.29,702.18,10,2,KEN,MV,Kenya,352,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),13.41,13.41,13.41,13.41,13.41,13.41,10,2,KEN,MV,Kenya,13410000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),37.78,37.74,37.54,37.98,37.22,38.52,30,2,KEN,MV,Kenya,37740000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),1311.61,1214.29,1099.93,1415.97,932.83,2416.25,30,2,KEN,MV,Kenya,1214,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),40.23,40.23,40.23,40.23,40.23,40.23,30,2,KEN,MV,Kenya,40230000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),-4.8,-4.95,-7.4,-2.27,-11.33,2.31,6,2,ZAF,mAb,South Africa,4952000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),-287.95,-404.35,-513.67,-240.59,-678.17,548.43,6,2,ZAF,mAb,South Africa,404,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),6.45,6.45,6.45,6.45,6.45,6.45,6,2,ZAF,mAb,South Africa,6447000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),10.24,10.09,7.64,12.77,3.71,17.36,20,2,ZAF,mAb,South Africa,10090000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),1291.67,830.73,525.01,1371.33,199.5,4146.97,20,2,ZAF,mAb,South Africa,831,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),21.49,21.49,21.49,21.49,21.49,21.49,20,2,ZAF,mAb,South Africa,21490000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),53.22,53.07,50.63,55.76,46.69,60.34,60,2,ZAF,mAb,South Africa,53070000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),5804.87,4372.86,3469.53,6034.71,NA,NA,60,2,ZAF,mAb,South Africa,4373,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),64.47,64.47,64.47,64.47,64.47,64.47,60,2,ZAF,mAb,South Africa,64470000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),-10.53,-10.69,-12.1,-9.03,-14.79,-5.53,3,2,ZAF,MV,South Africa,10690000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),-735.6,-724.21,-870.99,-604.07,-1416.37,-360.34,3,2,ZAF,MV,South Africa,724,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),3.28,3.28,3.28,3.28,3.28,3.28,3,2,ZAF,MV,South Africa,3281000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),-2.87,-3.04,-4.44,-1.37,-7.14,2.13,10,2,ZAF,MV,South Africa,3040000,10$ (MV),"ZAF
$10
MV"
