source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
new data (hospital-based + HUS),incremental cost (million US$),10,NA,KEN,mAb,Kenya,4430000,10$(mAb),KEN $10 mAb,11,11,10.8,11.1,10.6,11.4
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,NA,KEN,mAb,Kenya,731,10$(mAb),KEN $10 mAb,1800.8,1812.8,1619.1,2033.4,1331.1,2573.9
new data (hospital-based + HUS),intervention cost (million US$),10,NA,KEN,mAb,Kenya,6554000,10$(mAb),KEN $10 mAb,13.1,13.1,13.1,13.1,13.1,13.1
new data (hospital-based + HUS),total DALY averted (US$),10,NA,KEN,mAb,Kenya,13820,10$(mAb),KEN $10 mAb,13908.1,13821,12467.5,15270,10078.6,18158.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,NA,KEN,mAb,Kenya,6057,10$(mAb),KEN $10 mAb,6097.2,6057,5473.5,6689,4433,7933.4
new data (hospital-based + HUS),total medical cost averted (million US$),10,NA,KEN,mAb,Kenya,2124000,10$(mAb),KEN $10 mAb,2.1,2.1,2,2.3,1.7,2.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),10,NA,KEN,mAb,Kenya,320,10$(mAb),KEN $10 mAb,789.5,794.4,709.2,892.7,581.6,1132.1
new data (hospital-based + HUS),incremental cost (million US$),5,NA,KEN,MV,Kenya,2201000,5$(MV),KEN $5 MV,5.5,5.6,5.4,5.7,5.2,5.8
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5,NA,KEN,MV,Kenya,493,5$(MV),KEN $5 MV,1233.1,1249.4,1084,1439.5,840.4,1917.9
new data (hospital-based + HUS),intervention cost (million US$),5,NA,KEN,MV,Kenya,3353000,5$(MV),KEN $5 MV,6.7,6.7,6.7,6.7,6.7,6.7
new data (hospital-based + HUS),total DALY averted (US$),5,NA,KEN,MV,Kenya,10170,5$(MV),KEN $5 MV,10286.8,10169.5,8981.2,11486.8,6933,14258.2
new data (hospital-based + HUS),total DALY (disc) averted (US$),5,NA,KEN,MV,Kenya,4442,5$(MV),KEN $5 MV,4492.7,4442,3932,5009.2,3045,6199.1
new data (hospital-based + HUS),total medical cost averted (million US$),5,NA,KEN,MV,Kenya,1152000,5$(MV),KEN $5 MV,1.2,1.1,1,1.3,0.9,1.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),5,NA,KEN,MV,Kenya,215,5$(MV),KEN $5 MV,538.6,545.7,472.7,630.2,365.4,842.4
new data (hospital-based + HUS),incremental cost (million US$),10,NA,ZAF,mAb,South Africa,3364000,10$(mAb),ZAF $10 mAb,2,2,1.2,2.8,-0.6,4.2
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,NA,ZAF,mAb,South Africa,777,10$(mAb),ZAF $10 mAb,453.2,463.6,249.5,713.1,-113.4,1278.3
new data (hospital-based + HUS),intervention cost (million US$),10,NA,ZAF,mAb,South Africa,5373000,10$(mAb),ZAF $10 mAb,10.7,10.7,10.7,10.7,10.7,10.7
