source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
new data (hospital-based + HUS),incremental cost (million US$),10,NA,KEN,mAb,Kenya,3232000,10$(mAb),KEN $10 mAb,9.8,9.8,9.4,10.2,8.8,11
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,NA,KEN,mAb,Kenya,408,10$(mAb),KEN $10 mAb,1258.2,1240.2,958.7,1716.4,683.9,5244.2
new data (hospital-based + HUS),intervention cost (million US$),10,NA,KEN,mAb,Kenya,6554000,10$(mAb),KEN $10 mAb,13.1,13.1,13.1,13.1,13.1,13.1
new data (hospital-based + HUS),total DALY averted (US$),10,NA,KEN,mAb,Kenya,17920,10$(mAb),KEN $10 mAb,17699,17915,13434.5,22259.5,4618.8,29310.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,NA,KEN,mAb,Kenya,7886,10$(mAb),KEN $10 mAb,7789.1,7886,5936.8,9784,2091.8,12823.3
new data (hospital-based + HUS),total medical cost averted (million US$),10,NA,KEN,mAb,Kenya,3323000,10$(mAb),KEN $10 mAb,3.3,3.3,2.9,3.7,2.1,4.3
new data (hospital-based + HUS),incremental cost/DALY averted (US$),10,NA,KEN,mAb,Kenya,180,10$(mAb),KEN $10 mAb,553.7,545.9,421.4,758.5,299.2,2375.1
new data (hospital-based + HUS),incremental cost (million US$),5,NA,KEN,MV,Kenya,847800,5$(MV),KEN $5 MV,4.2,4.2,4,4.4,3.7,5
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5,NA,KEN,MV,Kenya,83,5$(MV),KEN $5 MV,413.2,395.5,342.4,482.8,276.2,886.5
new data (hospital-based + HUS),intervention cost (million US$),5,NA,KEN,MV,Kenya,3353000,5$(MV),KEN $5 MV,6.7,6.7,6.7,6.7,6.7,6.7
new data (hospital-based + HUS),total DALY averted (US$),5,NA,KEN,MV,Kenya,24360,5$(MV),KEN $5 MV,23462.7,24356,21122,26759.5,12670.5,30623.2
new data (hospital-based + HUS),total DALY (disc) averted (US$),5,NA,KEN,MV,Kenya,10620,5$(MV),KEN $5 MV,10236.1,10620,9217,11652.5,5617.9,13321.4
new data (hospital-based + HUS),total medical cost averted (million US$),5,NA,KEN,MV,Kenya,2505000,5$(MV),KEN $5 MV,2.5,2.5,2.2,2.7,1.7,3
new data (hospital-based + HUS),incremental cost/DALY averted (US$),5,NA,KEN,MV,Kenya,36,5$(MV),KEN $5 MV,180.3,172.4,149.1,210.7,120.2,393
new data (hospital-based + HUS),incremental cost (million US$),10,NA,ZAF,mAb,South Africa,6299000,10$(mAb),ZAF $10 mAb,-0.9,-0.9,-3.6,1.7,-7.8,6.9
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,NA,ZAF,mAb,South Africa,1104,10$(mAb),ZAF $10 mAb,-156.6,-167.1,-524.8,396.1,-878.3,3920.5
new data (hospital-based + HUS),intervention cost (million US$),10,NA,ZAF,mAb,South Africa,5373000,10$(mAb),ZAF $10 mAb,10.7,10.7,10.7,10.7,10.7,10.7
new data (hospital-based + HUS),total DALY averted (US$),10,NA,ZAF,mAb,South Africa,11960,10$(mAb),ZAF $10 mAb,11941.5,11957,9269,14956.2,3618.8,19312.2
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,NA,ZAF,mAb,South Africa,5566,10$(mAb),ZAF $10 mAb,5556.6,5566,4342,6936,1754.9,8926.1
new data (hospital-based + HUS),total medical cost averted (million US$),10,NA,ZAF,mAb,South Africa,11670000,10$(mAb),ZAF $10 mAb,11.6,11.7,9,14.4,3.9,18.6
new data (hospital-based + HUS),incremental cost/DALY averted (US$),10,NA,ZAF,mAb,South Africa,514,10$(mAb),ZAF $10 mAb,-72.9,-77.8,-243.4,185.6,-406,1901.2
new data (hospital-based + HUS),incremental cost (million US$),5,NA,ZAF,MV,South Africa,11390000,5$(MV),ZAF $5 MV,-8.5,-8.7,-10.2,-7,-12.8,-3.4
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5,NA,ZAF,MV,South Africa,1651,5$(MV),ZAF $5 MV,-1263.3,-1216.3,-1353.9,-1099.6,-1562.6,-845.1
new data (hospital-based + HUS),intervention cost (million US$),5,NA,ZAF,MV,South Africa,2734000,5$(MV),ZAF $5 MV,5.5,5.5,5.5,5.5,5.5,5.5
new data (hospital-based + HUS),total DALY averted (US$),5,NA,ZAF,MV,South Africa,15470,5$(MV),ZAF $5 MV,14628.1,15469,13727.5,16356,8642.5,17896
new data (hospital-based + HUS),total DALY (disc) averted (US$),5,NA,ZAF,MV,South Africa,7120,5$(MV),ZAF $5 MV,6744.1,7120,6338.5,7526.5,4058.8,8217.1
new data (hospital-based + HUS),total medical cost averted (million US$),5,NA,ZAF,MV,South Africa,14120000,5$(MV),ZAF $5 MV,14,14.1,12.4,15.7,8.9,18.3
new data (hospital-based + HUS),incremental cost/DALY averted (US$),5,NA,ZAF,MV,South Africa,761,5$(MV),ZAF $5 MV,-582.4,-559.8,-623,-507.7,-717.5,-396.9
new data (hospital-based + HUS),incremental cost (million US$),15,NA,KEN,mAb,Kenya,3232000,15$(mAb),KEN $15 mAb,16.3,16.3,15.9,16.7,15.3,17.5
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),15,NA,KEN,mAb,Kenya,408,15$(mAb),KEN $15 mAb,2099.1,2070.8,1628.2,2819.7,1194.7,8375.5
new data (hospital-based + HUS),intervention cost (million US$),15,NA,KEN,mAb,Kenya,6554000,15$(mAb),KEN $15 mAb,19.6,19.6,19.6,19.6,19.6,19.6
new data (hospital-based + HUS),total DALY averted (US$),15,NA,KEN,mAb,Kenya,17920,15$(mAb),KEN $15 mAb,17699,17915,13434.5,22259.5,4618.8,29310.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),15,NA,KEN,mAb,Kenya,7886,15$(mAb),KEN $15 mAb,7789.1,7886,5936.8,9784,2091.8,12823.3
new data (hospital-based + HUS),total medical cost averted (million US$),15,NA,KEN,mAb,Kenya,3323000,15$(mAb),KEN $15 mAb,3.3,3.3,2.9,3.7,2.1,4.3
new data (hospital-based + HUS),incremental cost/DALY averted (US$),15,NA,KEN,mAb,Kenya,180,15$(mAb),KEN $15 mAb,923.8,911.5,715.6,1246,522.7,3793.2
new data (hospital-based + HUS),incremental cost (million US$),7.5,NA,KEN,MV,Kenya,847800,7.5$(MV),KEN $7.5 MV,7.6,7.6,7.3,7.8,7,8.3
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),7.5,NA,KEN,MV,Kenya,83,7.5$(MV),KEN $7.5 MV,740.5,710.9,629.9,846.3,527.7,1482.8
new data (hospital-based + HUS),intervention cost (million US$),7.5,NA,KEN,MV,Kenya,3353000,7.5$(MV),KEN $7.5 MV,10.1,10.1,10.1,10.1,10.1,10.1
new data (hospital-based + HUS),total DALY averted (US$),7.5,NA,KEN,MV,Kenya,24360,7.5$(MV),KEN $7.5 MV,23462.7,24356,21122,26759.5,12670.5,30623.2
new data (hospital-based + HUS),total DALY (disc) averted (US$),7.5,NA,KEN,MV,Kenya,10620,7.5$(MV),KEN $7.5 MV,10236.1,10620,9217,11652.5,5617.9,13321.4
new data (hospital-based + HUS),total medical cost averted (million US$),7.5,NA,KEN,MV,Kenya,2505000,7.5$(MV),KEN $7.5 MV,2.5,2.5,2.2,2.7,1.7,3
new data (hospital-based + HUS),incremental cost/DALY averted (US$),7.5,NA,KEN,MV,Kenya,36,7.5$(MV),KEN $7.5 MV,323.1,310,274.3,369.3,229.6,657.4
new data (hospital-based + HUS),incremental cost (million US$),15,NA,ZAF,mAb,South Africa,6299000,15$(mAb),ZAF $15 mAb,4.5,4.4,1.7,7.1,-2.5,12.2
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),15,NA,ZAF,mAb,South Africa,1104,15$(mAb),ZAF $15 mAb,809.8,797.7,249.4,1632.9,-276.7,6980.5
new data (hospital-based + HUS),intervention cost (million US$),15,NA,ZAF,mAb,South Africa,5373000,15$(mAb),ZAF $15 mAb,16.1,16.1,16.1,16.1,16.1,16.1
new data (hospital-based + HUS),total DALY averted (US$),15,NA,ZAF,mAb,South Africa,11960,15$(mAb),ZAF $15 mAb,11941.5,11957,9269,14956.2,3618.8,19312.2
new data (hospital-based + HUS),total DALY (disc) averted (US$),15,NA,ZAF,mAb,South Africa,5566,15$(mAb),ZAF $15 mAb,5556.6,5566,4342,6936,1754.9,8926.1
new data (hospital-based + HUS),total medical cost averted (million US$),15,NA,ZAF,mAb,South Africa,11670000,15$(mAb),ZAF $15 mAb,11.6,11.7,9,14.4,3.9,18.6
new data (hospital-based + HUS),incremental cost/DALY averted (US$),15,NA,ZAF,mAb,South Africa,514,15$(mAb),ZAF $15 mAb,376.8,371.3,115.7,764.9,-127.9,3385.1
new data (hospital-based + HUS),incremental cost (million US$),7.5,NA,ZAF,MV,South Africa,11390000,7.5$(MV),ZAF $7.5 MV,-5.8,-5.9,-7.5,-4.2,-10.1,-0.7
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),7.5,NA,ZAF,MV,South Africa,1651,7.5$(MV),ZAF $7.5 MV,-858.5,-832.9,-991.2,-668.9,-1230.4,-172.5
new data (hospital-based + HUS),intervention cost (million US$),7.5,NA,ZAF,MV,South Africa,2734000,7.5$(MV),ZAF $7.5 MV,8.2,8.2,8.2,8.2,8.2,8.2
new data (hospital-based + HUS),total DALY averted (US$),7.5,NA,ZAF,MV,South Africa,15470,7.5$(MV),ZAF $7.5 MV,14628.1,15469,13727.5,16356,8642.5,17896
new data (hospital-based + HUS),total DALY (disc) averted (US$),7.5,NA,ZAF,MV,South Africa,7120,7.5$(MV),ZAF $7.5 MV,6744.1,7120,6338.5,7526.5,4058.8,8217.1
new data (hospital-based + HUS),total medical cost averted (million US$),7.5,NA,ZAF,MV,South Africa,14120000,7.5$(MV),ZAF $7.5 MV,14,14.1,12.4,15.7,8.9,18.3
new data (hospital-based + HUS),incremental cost/DALY averted (US$),7.5,NA,ZAF,MV,South Africa,761,7.5$(MV),ZAF $7.5 MV,-395.8,-383.3,-456.1,-308.9,-564.9,-81
new data (hospital-based + HUS),incremental cost (million US$),20,NA,KEN,mAb,Kenya,3232000,20$(mAb),KEN $20 mAb,22.9,22.9,22.5,23.3,21.9,24.1
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),20,NA,KEN,mAb,Kenya,408,20$(mAb),KEN $20 mAb,2940,2901.3,2297.6,3923,1705.5,11506.7
new data (hospital-based + HUS),intervention cost (million US$),20,NA,KEN,mAb,Kenya,6554000,20$(mAb),KEN $20 mAb,26.2,26.2,26.2,26.2,26.2,26.2
new data (hospital-based + HUS),total DALY averted (US$),20,NA,KEN,mAb,Kenya,17920,20$(mAb),KEN $20 mAb,17699,17915,13434.5,22259.5,4618.8,29310.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),20,NA,KEN,mAb,Kenya,7886,20$(mAb),KEN $20 mAb,7789.1,7886,5936.8,9784,2091.8,12823.3
new data (hospital-based + HUS),total medical cost averted (million US$),20,NA,KEN,mAb,Kenya,3323000,20$(mAb),KEN $20 mAb,3.3,3.3,2.9,3.7,2.1,4.3
new data (hospital-based + HUS),incremental cost/DALY averted (US$),20,NA,KEN,mAb,Kenya,180,20$(mAb),KEN $20 mAb,1293.9,1277.1,1009.9,1733.6,746.2,5211.3
new data (hospital-based + HUS),incremental cost (million US$),10,NA,KEN,MV,Kenya,847800,10$(MV),KEN $10 MV,10.9,10.9,10.7,11.2,10.4,11.7
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,NA,KEN,MV,Kenya,83,10$(MV),KEN $10 MV,1067.8,1026.4,917.4,1209.7,779.2,2079.1
new data (hospital-based + HUS),intervention cost (million US$),10,NA,KEN,MV,Kenya,3353000,10$(MV),KEN $10 MV,13.4,13.4,13.4,13.4,13.4,13.4
new data (hospital-based + HUS),total DALY averted (US$),10,NA,KEN,MV,Kenya,24360,10$(MV),KEN $10 MV,23462.7,24356,21122,26759.5,12670.5,30623.2
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,NA,KEN,MV,Kenya,10620,10$(MV),KEN $10 MV,10236.1,10620,9217,11652.5,5617.9,13321.4
