age_in_months_orig,in_hospital,value,CI_95_lower,CI_95_upper,country,CI_95_lower_sum,CI_95_upper_sum
0,out-of-hospital,28.8,18,34.7,South Africa,74.9,144.5
0,in-hospital,82,56.9,109.8,South Africa,74.9,144.5
1,out-of-hospital,28.9,20.6,32.6,South Africa,85.9,135.8
1,in-hospital,82.4,65.3,103.2,South Africa,85.9,135.8
2,out-of-hospital,20.6,14.3,23.7,South Africa,59.5,98.7
2,in-hospital,58.6,45.2,75,South Africa,59.5,98.7
3,out-of-hospital,18.2,12.3,21.4,South Africa,51.3,89
3,in-hospital,51.9,39,67.6,South Africa,51.3,89
4,out-of-hospital,17.3,11.2,20.9,South Africa,46.8,87
4,in-hospital,49.3,35.6,66.1,South Africa,46.8,87
5,out-of-hospital,11,6.9,13.8,South Africa,28.799999999999997,57.599999999999994
5,in-hospital,31.3,21.9,43.8,South Africa,28.799999999999997,57.599999999999994
6,out-of-hospital,10.8,6.9,13.2,South Africa,28.6,55.099999999999994
6,in-hospital,30.8,21.7,41.9,South Africa,28.6,55.099999999999994
7,out-of-hospital,7.3,4.2,9.6,South Africa,17.5,39.9
7,in-hospital,20.8,13.3,30.3,South Africa,17.5,39.9
8,out-of-hospital,4.9,2.7,6.4,South Africa,11.3,26.799999999999997
8,in-hospital,14,8.6,20.4,South Africa,11.3,26.799999999999997
9,out-of-hospital,4.2,2.1,6,South Africa,8.6,24.9
9,in-hospital,11.8,6.5,18.9,South Africa,8.6,24.9
10,out-of-hospital,4.1,2.1,5.7,South Africa,8.7,23.599999999999998
10,in-hospital,11.6,6.6,17.9,South Africa,8.7,23.599999999999998
11,out-of-hospital,3.8,1.9,5.4,South Africa,7.9,22.6
11,in-hospital,10.8,6,17.2,South Africa,7.9,22.6
12-14,out-of-hospital,1.3,0.8,1.6,South Africa,3.3,6.699999999999999
12-14,in-hospital,3.6,2.5,5.1,South Africa,3.3,6.699999999999999
15-17,out-of-hospital,0.9,0.5,1.1,South Africa,2.1,4.7
15-17,in-hospital,2.5,1.6,3.6,South Africa,2.1,4.7
18-20,out-of-hospital,0.6,0.3,0.9,South Africa,1.3,3.6999999999999997
18-20,in-hospital,1.8,1,2.8,South Africa,1.3,3.6999999999999997
21-23,out-of-hospital,0.9,0.4,1.3,South Africa,1.6,5.5
21-23,in-hospital,2.5,1.2,4.2,South Africa,1.6,5.5
24-35,out-of-hospital,0.2,0.1,0.3,South Africa,0.5,1.2
24-35,in-hospital,0.6,0.4,0.9,South Africa,0.5,1.2
36-47,out-of-hospital,0.1,0,0.2,South Africa,0.1,0.7
36-47,in-hospital,0.3,0.1,0.5,South Africa,0.1,0.7
48-59,out-of-hospital,0.1,0,0.2,South Africa,0.1,0.7
48-59,in-hospital,0.3,0.1,0.5,South Africa,0.1,0.7
0,out-of-hospital,78,43,119,Kenya,71,197
0,in-hospital,51,28,78,Kenya,71,197
1,out-of-hospital,112,64,170,Kenya,106,282
1,in-hospital,74,42,112,Kenya,106,282
2,out-of-hospital,82,46,126,Kenya,76,209
2,in-hospital,54,30,83,Kenya,76,209
3,out-of-hospital,50,27,76,Kenya,45,126
3,in-hospital,33,18,50,Kenya,45,126
4,out-of-hospital,44,26,67,Kenya,43,111
4,in-hospital,29,17,44,Kenya,43,111
5,out-of-hospital,49,27,78,Kenya,45,129
5,in-hospital,32,18,51,Kenya,45,129
6,out-of-hospital,196,109,314,Kenya,133,383
6,in-hospital,43,24,69,Kenya,133,383
7,out-of-hospital,168,91,264,Kenya,111,322
7,in-hospital,37,20,58,Kenya,111,322
8,out-of-hospital,155,91,259,Kenya,111,316
8,in-hospital,34,20,57,Kenya,111,316
9,out-of-hospital,96,50,159,Kenya,61,194
9,in-hospital,21,11,35,Kenya,61,194
10,out-of-hospital,105,59,173,Kenya,72,211
10,in-hospital,23,13,38,Kenya,72,211
11,out-of-hospital,86,46,141,Kenya,56,172
11,in-hospital,19,10,31,Kenya,56,172
12-14,out-of-hospital,20,8,38,Kenya,11,53
12-14,in-hospital,8,3,15,Kenya,11,53
15-17,out-of-hospital,15,5,30,Kenya,7,42
15-17,in-hospital,6,2,12,Kenya,7,42
18-20,out-of-hospital,18,5,33,Kenya,7,46
18-20,in-hospital,7,2,13,Kenya,7,46
21-23,out-of-hospital,10,3,20,Kenya,4,28
21-23,in-hospital,4,1,8,Kenya,4,28
24-35,out-of-hospital,8,3,18,Kenya,4,25
24-35,in-hospital,3,1,7,Kenya,4,25
36-47,out-of-hospital,3,0,8,Kenya,0,11
36-47,in-hospital,1,0,3,Kenya,0,11
48-59,out-of-hospital,0,0,3,Kenya,0,4
48-59,in-hospital,0,0,1,Kenya,0,4
