source,variable,meanvals,medianval,stdevvals
KEN (mcmarcel),rsv_cases,377864.6092,377867,70.16772176147263
KEN (mcmarcel),hosp_cases,33249.3552,27719,22025.472468724187
KEN (mcmarcel),rsv_deaths,732.3544,585,553.0811323381315
KEN (mcmarcel),total_DALY_0to1y,22365.8004,17494.5,17438.190244149708
KEN (mcmarcel),cost_rsv_hosp_0to1y,2146312.0422,1703215.5,1598658.6136250896
KEN (mcmarcel),total_medical_cost_0to1y,5039689.9624,4283552,3237721.1891169376
KEN (mcmarcel),incremental_cost_0to1y,3257701.066,3390750,536953.4944300898
KEN (mcmarcel),total_medical_cost_averted,765429.4182,632381,536953.4914476725
KEN (mcmarcel),hosp_cases_averted,1839.8486,1467,1367.7765520059493
KEN (mcmarcel),rsv_deaths_averted,59.731,45,50.90072706556519
KEN (mcmarcel),total_DALY_0to1y_averted,4033.6554,3041,3409.976206808053
KEN (mcmarcel),net_cost/DALY_averted,1515.8602902008597,1085.1870003689583,1491.713703112253
KEN (own),rsv_cases,59994.2604,59943,2237.7125606504196
KEN (own),hosp_cases,14330.2546,14368,3454.861157688196
KEN (own),rsv_deaths,430.3886,400,181.0180363829505
KEN (own),total_DALY_0to1y,23237.7908,21464,10285.991793661477
KEN (own),cost_rsv_hosp_0to1y,1762793.892,1705832,555156.3656645986
KEN (own),total_medical_cost_0to1y,2498848.5378,2370191,886855.3835591268
KEN (own),incremental_cost_0to1y,6818678.4814,6874172,374101.651175835
KEN (own),total_medical_cost_averted,1046541.6154,991048,374101.66006424837
KEN (own),hosp_cases_averted,4193.5242,4201.5,1038.459747676273
KEN (own),rsv_deaths_averted,162.127,148,76.50940601548132
KEN (own),total_DALY_0to1y_averted,10862.3668,9899,5104.194312736751
KEN (own),net_cost/DALY_averted,784.2976280755156,688.8977171284516,432.6122506853011
