age_in_months,variable,value,CI_95_lower,CI_95_upper,in_hospital,metric_per_popul,period,region
<1,rate,51,28,78,yes,100000,2010-2018,Kenya
1,rate,74,42,112,yes,100000,2010-2018,Kenya
2,rate,54,30,83,yes,100000,2010-2018,Kenya
3,rate,33,18,50,yes,100000,2010-2018,Kenya
4,rate,29,17,44,yes,100000,2010-2018,Kenya
5,rate,32,18,51,yes,100000,2010-2018,Kenya
6,rate,43,24,69,yes,100000,2010-2018,Kenya
7,rate,37,20,58,yes,100000,2010-2018,Kenya
8,rate,34,20,57,yes,100000,2010-2018,Kenya
9,rate,21,11,35,yes,100000,2010-2018,Kenya
10,rate,23,13,38,yes,100000,2010-2018,Kenya
11,rate,19,10,31,yes,100000,2010-2018,Kenya
<12,rate,35,24,51,yes,100000,2010-2018,Kenya
12-14,rate,8,3,15,yes,100000,2010-2018,Kenya
15-17,rate,6,2,12,yes,100000,2010-2018,Kenya
18-20,rate,7,2,13,yes,100000,2010-2018,Kenya
21-23,rate,4,1,8,yes,100000,2010-2018,Kenya
12-23,rate,6,2,12,yes,100000,2010-2018,Kenya
<24,rate,21,14,29,yes,100000,2010-2018,Kenya
24-35,rate,3,1,7,yes,100000,2010-2018,Kenya
36-47,rate,1,0,3,yes,100000,2010-2018,Kenya
48-59,rate,0,0,1,yes,100000,2010-2018,Kenya
24-59,rate,2,0,3,yes,100000,2010-2018,Kenya
<60,rate,9,7,13,yes,100000,2010-2018,Kenya
<1,rate,55,31,85,no,100000,2010-2018,Kenya
1,rate,80,46,122,no,100000,2010-2018,Kenya
2,rate,58,33,90,no,100000,2010-2018,Kenya
3,rate,35,19,55,no,100000,2010-2018,Kenya
4,rate,32,18,48,no,100000,2010-2018,Kenya
5,rate,35,20,56,no,100000,2010-2018,Kenya
6,rate,47,26,75,no,100000,2010-2018,Kenya
7,rate,40,21,63,no,100000,2010-2018,Kenya
8,rate,37,21,62,no,100000,2010-2018,Kenya
9,rate,23,12,38,no,100000,2010-2018,Kenya
10,rate,25,14,41,no,100000,2010-2018,Kenya
11,rate,21,11,33,no,100000,2010-2018,Kenya
<12,rate,38,26,55,no,100000,2010-2018,Kenya
12-14,rate,9,3,16,no,100000,2010-2018,Kenya
15-17,rate,6,2,13,no,100000,2010-2018,Kenya
18-20,rate,7,2,14,no,100000,2010-2018,Kenya
21-23,rate,4,1,8,no,100000,2010-2018,Kenya
12-23,rate,7,2,13,no,100000,2010-2018,Kenya
<24,rate,23,16,31,no,100000,2010-2018,Kenya
24-35,rate,4,1,7,no,100000,2010-2018,Kenya
36-47,rate,2,0,4,no,100000,2010-2018,Kenya
48-59,rate,0,0,1,no,100000,2010-2018,Kenya
24-59,rate,2,0,4,no,100000,2010-2018,Kenya
<60,rate,10,7,14,no,100000,2010-2018,Kenya
