source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round,money_unit,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,KEN,mAb,Kenya,7237000,6$ (mAb),7.2m,million USD,7.107,7.237,6.906,7.458,5.7,7.691
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,KEN,mAb,Kenya,3059,6$ (mAb),3.1k,USD,3.914,3.059,1.798,4.886,0.672,12.588
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,KEN,mAb,Kenya,1338,6$ (mAb),1.3k,USD,1.706,1.338,0.792,2.126,0.306,5.439
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,KEN,mAb,Kenya,628100,6$ (mAb),0.6m,million USD,0.758,0.628,0.407,0.96,0.174,2.165
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,3875000,6$ (mAb),3.9m,million USD,3.876,3.875,3.702,4.055,3.335,4.395
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,KEN,mAb,Kenya,27160,6$ (mAb),27.2k,USD,27.295,27.165,25.266,29.255,21.804,33.365
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,KEN,mAb,Kenya,11900,6$ (mAb),11.9k,USD,11.955,11.9,11.077,12.803,9.573,14.576
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,3990000,6$ (mAb),4m,million USD,3.989,3.99,3.81,4.163,3.471,4.531
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,KEN,mAb,Kenya,25590000,20$ (mAb),25.6m,million USD,25.46,25.589,25.258,25.811,24.052,26.043
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),20,0.2,KEN,mAb,Kenya,3059,20$ (mAb),3.1k,USD,3.914,3.059,1.798,4.886,0.672,12.588
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),20,0.2,KEN,mAb,Kenya,1338,20$ (mAb),1.3k,USD,1.706,1.338,0.792,2.126,0.306,5.439
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),20,0.2,KEN,mAb,Kenya,628100,20$ (mAb),0.6m,million USD,0.758,0.628,0.407,0.96,0.174,2.165
new data (hospital-based + HUS),incremental cost (million US$),20,2,KEN,mAb,Kenya,22230000,20$ (mAb),22.2m,million USD,22.228,22.227,22.054,22.408,21.687,22.747
