variable,price,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
incremental cost (million US$),6,KEN,mAb,Kenya,2658000,6$(mAb),"KEN
$6
mAb",2.6,2.6,2.5,2.8,2.3,3
incremental cost/DALY (disc) averted (US$),6,KEN,mAb,Kenya,263,6$(mAb),"KEN
$6
mAb",262.5,263.3,234.1,296.9,184,381.4
intervention cost (million US$),6,KEN,mAb,Kenya,5634000,6$(mAb),"KEN
$6
mAb",5.6,5.6,5.6,5.6,5.6,5.6
total DALY averted (US$),6,KEN,mAb,Kenya,23030,6$(mAb),"KEN
$6
mAb",23093,23030.5,21402.5,24744.2,18057.8,28408
total DALY (disc) averted (US$),6,KEN,mAb,Kenya,10060,6$(mAb),"KEN
$6
mAb",10094.8,10064.5,9364.8,10809.2,7918,12388
total medical cost averted (million US$),6,KEN,mAb,Kenya,2975000,6$(mAb),"KEN
$6
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),6,KEN,mAb,Kenya,115,6$(mAb),"KEN
$6
mAb",114.8,115.1,102.2,129.9,80.3,167.2
incremental cost (million US$),3,KEN,MV,Kenya,1303000,3$(MV),"KEN
$3
MV",1.3,1.3,1.2,1.4,1,1.6
incremental cost/DALY (disc) averted (US$),3,KEN,MV,Kenya,167,3$(MV),"KEN
$3
MV",165.8,166.8,139.4,198.8,97.9,280.2
intervention cost (million US$),3,KEN,MV,Kenya,2882000,3$(MV),"KEN
$3
MV",2.9,2.9,2.9,2.9,2.9,2.9
total DALY averted (US$),3,KEN,MV,Kenya,17900,3$(MV),"KEN
$3
MV",18003.3,17900.5,16267.5,19630.8,13309,23064.2
total DALY (disc) averted (US$),3,KEN,MV,Kenya,7795,3$(MV),"KEN
$3
MV",7838.4,7795,7091.2,8536.8,5817.5,10008.5
total medical cost averted (million US$),3,KEN,MV,Kenya,1579000,3$(MV),"KEN
$3
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),3,KEN,MV,Kenya,73,3$(MV),"KEN
$3
MV",72.2,72.6,60.6,86.7,42.5,122.5
incremental cost (million US$),6,ZAF,mAb,South Africa,8369000,6$(mAb),"ZAF
$6
mAb",-8.4,-8.4,-9.3,-7.5,-11.2,-5.8
incremental cost/DALY (disc) averted (US$),6,ZAF,mAb,South Africa,1260,6$(mAb),"ZAF
$6
mAb",-1270,-1263.6,-1330,-1195.3,-1452.6,-1044.5
intervention cost (million US$),6,ZAF,mAb,South Africa,5103000,6$(mAb),"ZAF
$6
mAb",5.1,5.1,5.1,5.1,5.1,5.1
total DALY averted (US$),6,ZAF,mAb,South Africa,14320,6$(mAb),"ZAF
$6
mAb",14298.1,14321,13477.8,15145,11861,16728.2
total DALY (disc) averted (US$),6,ZAF,mAb,South Africa,6624,6$(mAb),"ZAF
$6
mAb",6614.1,6624,6241,7000.2,5505,7710
total medical cost averted (million US$),6,ZAF,mAb,South Africa,13470000,6$(mAb),"ZAF
$6
mAb",13.5,13.5,12.6,14.4,10.8,16.3
incremental cost/DALY averted (US$),6,ZAF,mAb,South Africa,583,6$(mAb),"ZAF
$6
mAb",-587.5,-584.5,-614.7,-553.5,-669.5,-484.8
incremental cost (million US$),3,ZAF,MV,South Africa,7766000,3$(MV),"ZAF
$3
MV",-7.8,-7.8,-8.7,-6.9,-10.6,-5.2
