source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),4.4,4.4,4.3,4.6,4,4.9,5,NA,KEN,mAb,Kenya,4430000,5$ (mAb),"KEN
$5
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),746.5,730.8,647.2,828.8,524,1064.1,5,NA,KEN,mAb,Kenya,731,5$ (mAb),"KEN
$5
mAb"
new data (hospital-based + HUS),intervention cost (million US$),6.6,6.6,6.6,6.6,6.6,6.6,5,NA,KEN,mAb,Kenya,6554000,5$ (mAb),"KEN
$5
mAb"
new data (hospital-based + HUS),total DALY averted (US$),13908.1,13821,12467.5,15270,10078.6,18158.1,5,NA,KEN,mAb,Kenya,13820,5$ (mAb),"KEN
$5
mAb"
new data (hospital-based + HUS),total DALY (disc) averted (US$),6097.2,6057,5473.5,6689,4433,7933.4,5,NA,KEN,mAb,Kenya,6057,5$ (mAb),"KEN
$5
mAb"
new data (hospital-based + HUS),total medical cost averted (million US$),2.1,2.1,2,2.3,1.7,2.5,5,NA,KEN,mAb,Kenya,2124000,5$ (mAb),"KEN
$5
mAb"
new data (hospital-based + HUS),incremental cost (million US$),2.2,2.2,2.1,2.3,1.9,2.5,2.5,NA,KEN,MV,Kenya,2201000,2.5$ (MV),"KEN
$2.5
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),504.9,493,434.4,561.6,338.5,735.5,2.5,NA,KEN,MV,Kenya,493,2.5$ (MV),"KEN
$2.5
MV"
new data (hospital-based + HUS),intervention cost (million US$),3.4,3.4,3.4,3.4,3.4,3.4,2.5,NA,KEN,MV,Kenya,3353000,2.5$ (MV),"KEN
$2.5
MV"
new data (hospital-based + HUS),total DALY averted (US$),10286.8,10169.5,8981.2,11486.8,6933,14258.2,2.5,NA,KEN,MV,Kenya,10170,2.5$ (MV),"KEN
$2.5
MV"
