source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),0.5,0.5,0.3,0.6,0.1,0.8,6,NA,KEN,mAb,Kenya,463100,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),36,36.3,27.4,45.4,8.5,61.3,6,NA,KEN,mAb,Kenya,36,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),5.6,5.6,5.6,5.6,5.6,5.6,6,NA,KEN,mAb,Kenya,5634000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),total DALY averted (US$),29017.4,28970,27756.5,30199.2,25442,32774,6,NA,KEN,mAb,Kenya,28970,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),total DALY (disc) averted (US$),12721.8,12702,12179,13228,11178.9,14333.1,6,NA,KEN,mAb,Kenya,12700,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),total medical cost averted (million US$),5.2,5.2,5.1,5.3,4.9,5.5,6,NA,KEN,mAb,Kenya,5171000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),0.7,0.7,0.6,0.8,0.4,0.9,3,NA,KEN,MV,Kenya,713200,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),71.3,71.2,62.3,80.7,44.5,97.3,3,NA,KEN,MV,Kenya,71,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),2.9,2.9,2.9,2.9,2.9,2.9,3,NA,KEN,MV,Kenya,2882000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),total DALY averted (US$),22987.3,22954,21851.5,24050,19861.8,26371.5,3,NA,KEN,MV,Kenya,22950,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),total DALY (disc) averted (US$),9998.5,9982,9511,10458,8649.5,11447.5,3,NA,KEN,MV,Kenya,9982,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),total medical cost averted (million US$),2.2,2.2,2.1,2.3,1.9,2.4,3,NA,KEN,MV,Kenya,2169000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),-12.4,-12.3,-13.2,-11.6,-14.9,-10.1,6,NA,ZAF,mAb,South Africa,12330000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-1486.1,-1475.8,-1588.5,-1375.8,-1816.7,-1198.3,6,NA,ZAF,mAb,South Africa,1476,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),5.1,5.1,5.1,5.1,5.1,5.1,6,NA,ZAF,mAb,South Africa,5103000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),total DALY averted (US$),17985.6,17965,17424,18516,16425.9,19685,6,NA,ZAF,mAb,South Africa,17960,6$ (mAb),"ZAF
$6
mAb"
