source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round,money_unit,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,KEN,mAb,Kenya,7227000,6$ (mAb),7.2m,million USD,7.096,7.227,6.891,7.456,5.722,7.695
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,KEN,mAb,Kenya,3069,6$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,KEN,mAb,Kenya,1342,6$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,KEN,mAb,Kenya,638100,6$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,3870000,6$ (mAb),3.9m,million USD,3.872,3.87,3.668,4.075,3.263,4.471
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,KEN,mAb,Kenya,36040,6$ (mAb),36k,USD,36.269,36.038,33.416,38.983,28.332,45.169
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,KEN,mAb,Kenya,15710,6$ (mAb),15.7k,USD,15.815,15.71,14.58,16.982,12.382,19.666
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,3995000,6$ (mAb),4m,million USD,3.993,3.995,3.791,4.197,3.394,4.602
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,KEN,mAb,Kenya,25580000,20$ (mAb),25.6m,million USD,25.448,25.579,25.243,25.809,24.074,26.047
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),20,0.2,KEN,mAb,Kenya,3069,20$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),20,0.2,KEN,mAb,Kenya,1342,20$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),20,0.2,KEN,mAb,Kenya,638100,20$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),20,2,KEN,mAb,Kenya,22220000,20$ (mAb),22.2m,million USD,22.225,22.223,22.02,22.427,21.616,22.823
new data (hospital-based + HUS),total DALY averted (thousand US$),20,2,KEN,mAb,Kenya,36040,20$ (mAb),36k,USD,36.269,36.038,33.416,38.983,28.332,45.169
new data (hospital-based + HUS),total DALY disc averted (thousand US$),20,2,KEN,mAb,Kenya,15710,20$ (mAb),15.7k,USD,15.815,15.71,14.58,16.982,12.382,19.666
new data (hospital-based + HUS),total medical cost averted (million US$),20,2,KEN,mAb,Kenya,3995000,20$ (mAb),4m,million USD,3.993,3.995,3.791,4.197,3.394,4.602
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),60,0.2,KEN,mAb,Kenya,78010000,60$ (mAb),78m,million USD,77.883,78.014,77.678,78.243,76.509,78.482
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),60,0.2,KEN,mAb,Kenya,3069,60$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),60,0.2,KEN,mAb,Kenya,1342,60$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),60,0.2,KEN,mAb,Kenya,638100,60$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),60,2,KEN,mAb,Kenya,74660000,60$ (mAb),74.7m,million USD,74.659,74.657,74.455,74.862,74.05,75.258
new data (hospital-based + HUS),total DALY averted (thousand US$),60,2,KEN,mAb,Kenya,36040,60$ (mAb),36k,USD,36.269,36.038,33.416,38.983,28.332,45.169
new data (hospital-based + HUS),total DALY disc averted (thousand US$),60,2,KEN,mAb,Kenya,15710,60$ (mAb),15.7k,USD,15.815,15.71,14.58,16.982,12.382,19.666
new data (hospital-based + HUS),total medical cost averted (million US$),60,2,KEN,mAb,Kenya,3995000,60$ (mAb),4m,million USD,3.993,3.995,3.791,4.197,3.394,4.602
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),3,0.2,KEN,MV,Kenya,3858000,3$ (MV),3.9m,million USD,3.815,3.858,3.761,3.921,3.384,3.982
