source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round,money_unit,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,KEN,mAb,Kenya,7230000,6$ (mAb),7.2m,million USD,7.101,7.23,6.905,7.454,5.798,7.686
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,KEN,mAb,Kenya,3081,6$ (mAb),3.1k,USD,3.998,3.081,1.863,5.096,0.7,12.495
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,KEN,mAb,Kenya,1347,6$ (mAb),1.3k,USD,1.742,1.347,0.82,2.221,0.318,5.403
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,KEN,mAb,Kenya,635500,6$ (mAb),0.6m,million USD,0.765,0.635,0.411,0.96,0.179,2.067
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,4619000,6$ (mAb),4.6m,million USD,4.639,4.619,4.237,5.015,3.624,5.737
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,KEN,mAb,Kenya,23850,6$ (mAb),23.9k,USD,23.62,23.853,17.942,29.514,7.413,38.632
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,KEN,mAb,Kenya,10430,6$ (mAb),10.4k,USD,10.331,10.43,7.872,12.887,3.293,16.848
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,3247000,6$ (mAb),3.2m,million USD,3.226,3.247,2.85,3.628,2.129,4.241
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,KEN,mAb,Kenya,25580000,20$ (mAb),25.6m,million USD,25.453,25.582,25.258,25.806,24.15,26.038
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),20,0.2,KEN,mAb,Kenya,3081,20$ (mAb),3.1k,USD,3.998,3.081,1.863,5.096,0.7,12.495
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),20,0.2,KEN,mAb,Kenya,1347,20$ (mAb),1.3k,USD,1.742,1.347,0.82,2.221,0.318,5.403
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),20,0.2,KEN,mAb,Kenya,635500,20$ (mAb),0.6m,million USD,0.765,0.635,0.411,0.96,0.179,2.067
new data (hospital-based + HUS),incremental cost (million US$),20,2,KEN,mAb,Kenya,22970000,20$ (mAb),23m,million USD,22.992,22.971,22.589,23.367,21.976,24.089
new data (hospital-based + HUS),total DALY averted (thousand US$),20,2,KEN,mAb,Kenya,23850,20$ (mAb),23.9k,USD,23.62,23.853,17.942,29.514,7.413,38.632
new data (hospital-based + HUS),total DALY disc averted (thousand US$),20,2,KEN,mAb,Kenya,10430,20$ (mAb),10.4k,USD,10.331,10.43,7.872,12.887,3.293,16.848
new data (hospital-based + HUS),total medical cost averted (million US$),20,2,KEN,mAb,Kenya,3247000,20$ (mAb),3.2m,million USD,3.226,3.247,2.85,3.628,2.129,4.241
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),60,0.2,KEN,mAb,Kenya,78020000,60$ (mAb),78m,million USD,77.888,78.017,77.692,78.241,76.585,78.473
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),60,0.2,KEN,mAb,Kenya,3081,60$ (mAb),3.1k,USD,3.998,3.081,1.863,5.096,0.7,12.495
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),60,0.2,KEN,mAb,Kenya,1347,60$ (mAb),1.3k,USD,1.742,1.347,0.82,2.221,0.318,5.403
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),60,0.2,KEN,mAb,Kenya,635500,60$ (mAb),0.6m,million USD,0.765,0.635,0.411,0.96,0.179,2.067
new data (hospital-based + HUS),incremental cost (million US$),60,2,KEN,mAb,Kenya,75410000,60$ (mAb),75.4m,million USD,75.426,75.406,75.024,75.802,74.411,76.524
new data (hospital-based + HUS),total DALY averted (thousand US$),60,2,KEN,mAb,Kenya,23850,60$ (mAb),23.9k,USD,23.62,23.853,17.942,29.514,7.413,38.632
new data (hospital-based + HUS),total DALY disc averted (thousand US$),60,2,KEN,mAb,Kenya,10430,60$ (mAb),10.4k,USD,10.331,10.43,7.872,12.887,3.293,16.848
new data (hospital-based + HUS),total medical cost averted (million US$),60,2,KEN,mAb,Kenya,3247000,60$ (mAb),3.2m,million USD,3.226,3.247,2.85,3.628,2.129,4.241
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),3,0.2,KEN,MV,Kenya,3859000,3$ (MV),3.9m,million USD,3.817,3.859,3.763,3.921,3.41,3.981
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),3,0.2,KEN,MV,Kenya,921,3$ (MV),0.9k,USD,1.252,0.921,0.536,1.557,0.186,4.256
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),3,0.2,KEN,MV,Kenya,403,3$ (MV),0.4k,USD,0.545,0.402,0.236,0.677,0.084,1.844
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),3,0.2,KEN,MV,Kenya,164400,3$ (MV),0.2m,million USD,0.206,0.164,0.103,0.261,0.042,0.613
new data (hospital-based + HUS),incremental cost (million US$),3,2,KEN,MV,Kenya,1534000,3$ (MV),1.5m,million USD,1.568,1.534,1.335,1.772,1.01,2.308
new data (hospital-based + HUS),total DALY averted (thousand US$),3,2,KEN,MV,Kenya,31110,3$ (MV),31.1k,USD,30.05,31.106,26.694,34.35,15.65,40.478
new data (hospital-based + HUS),total DALY disc averted (thousand US$),3,2,KEN,MV,Kenya,13530,3$ (MV),13.5k,USD,13.071,13.528,11.617,14.917,6.864,17.564
new data (hospital-based + HUS),total medical cost averted (million US$),3,2,KEN,MV,Kenya,2489000,3$ (MV),2.5m,million USD,2.455,2.489,2.251,2.688,1.715,3.013
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),10,0.2,KEN,MV,Kenya,13250000,10$ (MV),13.2m,million USD,13.205,13.246,13.15,13.308,12.797,13.368
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),10,0.2,KEN,MV,Kenya,921,10$ (MV),0.9k,USD,1.252,0.921,0.536,1.557,0.186,4.256
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),10,0.2,KEN,MV,Kenya,403,10$ (MV),0.4k,USD,0.545,0.402,0.236,0.677,0.084,1.844
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),10,0.2,KEN,MV,Kenya,164400,10$ (MV),0.2m,million USD,0.206,0.164,0.103,0.261,0.042,0.613
new data (hospital-based + HUS),incremental cost (million US$),10,2,KEN,MV,Kenya,10920000,10$ (MV),10.9m,million USD,10.955,10.922,10.723,11.16,10.397,11.695
new data (hospital-based + HUS),total DALY averted (thousand US$),10,2,KEN,MV,Kenya,31110,10$ (MV),31.1k,USD,30.05,31.106,26.694,34.35,15.65,40.478
new data (hospital-based + HUS),total DALY disc averted (thousand US$),10,2,KEN,MV,Kenya,13530,10$ (MV),13.5k,USD,13.071,13.528,11.617,14.917,6.864,17.564
new data (hospital-based + HUS),total medical cost averted (million US$),10,2,KEN,MV,Kenya,2489000,10$ (MV),2.5m,million USD,2.455,2.489,2.251,2.688,1.715,3.013
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),30,0.2,KEN,MV,Kenya,40070000,30$ (MV),40.1m,million USD,40.026,40.067,39.971,40.129,39.618,40.189
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),30,0.2,KEN,MV,Kenya,921,30$ (MV),0.9k,USD,1.252,0.921,0.536,1.557,0.186,4.256
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),30,0.2,KEN,MV,Kenya,403,30$ (MV),0.4k,USD,0.545,0.402,0.236,0.677,0.084,1.844
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),30,0.2,KEN,MV,Kenya,164400,30$ (MV),0.2m,million USD,0.206,0.164,0.103,0.261,0.042,0.613
new data (hospital-based + HUS),incremental cost (million US$),30,2,KEN,MV,Kenya,37740000,30$ (MV),37.7m,million USD,37.776,37.743,37.544,37.981,37.218,38.516
new data (hospital-based + HUS),total DALY averted (thousand US$),30,2,KEN,MV,Kenya,31110,30$ (MV),31.1k,USD,30.05,31.106,26.694,34.35,15.65,40.478
new data (hospital-based + HUS),total DALY disc averted (thousand US$),30,2,KEN,MV,Kenya,13530,30$ (MV),13.5k,USD,13.071,13.528,11.617,14.917,6.864,17.564
new data (hospital-based + HUS),total medical cost averted (million US$),30,2,KEN,MV,Kenya,2489000,30$ (MV),2.5m,million USD,2.455,2.489,2.251,2.688,1.715,3.013
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,ZAF,mAb,South Africa,4121000,6$ (mAb),4.1m,million USD,3.815,4.121,3.168,4.794,0.37,5.627
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,ZAF,mAb,South Africa,2328,6$ (mAb),2.3k,USD,3.021,2.328,1.409,3.851,0.53,9.439
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,ZAF,mAb,South Africa,1062,6$ (mAb),1.1k,USD,1.373,1.062,0.647,1.75,0.251,4.259
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,ZAF,mAb,South Africa,2326000,6$ (mAb),2.3m,million USD,2.633,2.326,1.653,3.279,0.82,6.077
new data (hospital-based + HUS),incremental cost (million US$),6,2,ZAF,mAb,South Africa,-4952000,6$ (mAb),-5m,million USD,-4.803,-4.952,-7.399,-2.269,-11.331,2.312
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,ZAF,mAb,South Africa,12100,6$ (mAb),12.1k,USD,11.868,12.104,9.203,14.643,4.068,18.995
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,ZAF,mAb,South Africa,5615,6$ (mAb),5.6k,USD,5.502,5.615,4.294,6.764,1.934,8.74
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,ZAF,mAb,South Africa,11400000,6$ (mAb),11.4m,million USD,11.25,11.399,8.716,13.846,4.135,17.778
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,ZAF,mAb,South Africa,19160000,20$ (mAb),19.2m,million USD,18.858,19.165,18.211,19.838,15.413,20.67
