source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
new data (hospital-based + HUS),incremental cost (million US$),10,NA,KEN,mAb,Kenya,3368000,10$(mAb),KEN $10 mAb,9.9,9.9,9.8,10.1,9.4,10.4
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10,NA,KEN,mAb,Kenya,368,10$(mAb),KEN $10 mAb,1081.5,1085.3,991.4,1191.5,833,1434.9
new data (hospital-based + HUS),intervention cost (million US$),10,NA,KEN,mAb,Kenya,6554000,10$(mAb),KEN $10 mAb,13.1,13.1,13.1,13.1,13.1,13.1
new data (hospital-based + HUS),total DALY averted (US$),10,NA,KEN,mAb,Kenya,20830,10$(mAb),KEN $10 mAb,20902.1,20826.5,19259,22442.2,16417.9,25875.2
new data (hospital-based + HUS),total DALY (disc) averted (US$),10,NA,KEN,mAb,Kenya,9131,10$(mAb),KEN $10 mAb,9163.4,9131,8451.8,9834.5,7220,11309.1
new data (hospital-based + HUS),total medical cost averted (million US$),10,NA,KEN,mAb,Kenya,3186000,10$(mAb),KEN $10 mAb,3.2,3.2,3,3.4,2.7,3.7
new data (hospital-based + HUS),incremental cost/DALY averted (US$),10,NA,KEN,mAb,Kenya,162,10$(mAb),KEN $10 mAb,474.1,475.8,434.4,522.9,364.1,631
new data (hospital-based + HUS),incremental cost (million US$),5,NA,KEN,MV,Kenya,1631000,5$(MV),KEN $5 MV,5,5,4.8,5.1,4.6,5.3
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5,NA,KEN,MV,Kenya,240,5$(MV),KEN $5 MV,732.5,737.9,655.5,833.5,526.8,1054.9
new data (hospital-based + HUS),intervention cost (million US$),5,NA,KEN,MV,Kenya,3353000,5$(MV),KEN $5 MV,6.7,6.7,6.7,6.7,6.7,6.7
new data (hospital-based + HUS),total DALY averted (US$),5,NA,KEN,MV,Kenya,15460,5$(MV),KEN $5 MV,15538.5,15457,13993,16968.5,11488.6,20098
new data (hospital-based + HUS),total DALY (disc) averted (US$),5,NA,KEN,MV,Kenya,6749,5$(MV),KEN $5 MV,6785.1,6749,6119,7399,5033.7,8751.4
new data (hospital-based + HUS),total medical cost averted (million US$),5,NA,KEN,MV,Kenya,1722000,5$(MV),KEN $5 MV,1.7,1.7,1.6,1.9,1.4,2.1
